0,0,0
0.22,-0.000016,0.000027
0.28,-0.000013,0.00003
0.36,0.000019,0.000031
0.47,0.000001,-0.000021
0.55,-0.000007,-0.000031
0.64,-0.000024,-0.000023
0.72,-0.000013,-0.000054
0.8,-0.000006,-0.000036
0.87,-0.00002,-0.00003
0.97,-0.000027,-0.000054
1.06,-0.000048,-0.000042
1.14,-0.000011,0.00001
1.22,0.000001,0.000006
1.31,-0.000006,-0.000028
1.42,0.00003,-0.000009
1.5,0.000002,-0.000016
1.58,0.000024,0.000009
1.64,0.00001,-0.000008
1.7,0.00003,0
1.79,-0.000011,-0.000024
1.86,-0.000023,0.000028
1.93,0.00004,-0.000001
2.01,0.000006,0.000003
2.11,-0.000008,0.000058
2.17,-0.000033,0
2.28,0,0.000002
2.46,0.000027,0.000009
2.54,-0.000004,0.000035
2.61,-0.000006,0.000029
2.67,0.000013,0.00001
2.73,-0.000011,0.000012
2.79,0.000024,-0.000034
2.87,-0.000022,-0.000027
2.95,0.000005,0.000002
3.01,-0.000044,-0.000009
3.06,-0.000062,-0.000027
3.12,0.000045,-0.000006
3.18,-0.000008,0.000029
3.23,0.000024,0.000004
3.29,-0.000019,-0.000019
3.35,-0.000012,0.000017
3.43,-0.000009,0.000011
3.49,-0.000009,-0.000032
3.56,-0.000007,-0.000028
3.62,-0.000015,-0.000034
3.68,-0.000019,-0.000028
3.74,0.000039,-0.000008
3.81,-0.000002,-0.000029
3.87,0.000006,-0.000013
3.93,-0.000018,-0.000002
3.99,0.00001,0.000002
4.06,-0.000004,0.000002
4.12,-0.000017,-0.000006
4.18,0.000012,0.000012
4.24,-0.000009,0.000017
4.32,0.00003,0.00002
4.4,-0.000011,0.000023
4.46,0.000023,-0.000017
4.52,0.00003,-0.000004
4.59,0.000024,0.000043
4.65,0.000023,0.00001
4.73,0.000049,-0.000017
4.8,-0.000002,-0.00002
4.87,0.000024,-0.000022
4.95,-0.00002,0.000058
5.01,-0.000039,0.000009
5.07,0.000027,0.000051
5.13,-0.000029,-0.000016
5.2,-0.000017,0.000021
5.26,-0.000022,-0.000017
5.32,0.000002,0.000005
5.38,0.000009,-0.000023
5.44,-0.000005,-0.00003
5.52,-0.000041,-0.000064
5.59,0.000008,-0.00003
5.65,-0.000002,-0.000001
5.71,-0.000011,0.000009
5.77,0.000018,0.000026
5.83,0.000006,-0.000011
5.9,0.000012,-0.000017
5.94,-0.000008,0.000022
6.01,0.000006,-0.000005
6.07,-0.000038,-0.000011
6.12,0.000005,0.000011
6.18,-0.000011,0.000023
6.25,-0.00001,-0.000015
6.3,-0.000016,-0.000053
6.37,0.00003,0.000014
6.41,-0.000001,-0.000002
6.49,0.000015,-0.000045
6.55,0.000021,-0.000037
6.61,-0.000015,-0.000033
6.69,0.000007,-0.000024
6.77,0.000015,0.000025
6.85,0.000002,0.000024
6.91,-0.000007,0.00002
6.97,0.000016,0.000005
7.04,0.000003,-0.000024
7.1,0.000015,-0.00001
7.16,0.000037,0.000027
7.21,-0.000003,-0.000049
7.25,-0.000017,-0.000032
7.3,-0.000009,-0.000007
7.36,-0.000005,0.000014
7.42,-0.000003,-0.000041
7.49,0.000024,-0.000011
7.55,0.000009,-0.000009
7.61,0.00001,-0.000002
7.67,0.00004,-0.000033
7.74,-0.000008,0.00001
